Open,O1,H1,L1,V1,O2,H2,L2,V2,O3,H3,L3,V3
145.01,147.17,148.28,145.38,25674500.0,145.13,147.16,145.11,35421310.0,145.77,146.7,145.12,19082170.0
170.29,171.04,171.39,169.64,21884010.0,171.18,171.87,170.3,23598650.0,169.97,170.32,168.38,28998220.0
122.32,123.15,123.5,122.27,36912040.0,123.38,123.91,122.55,33570380.0,123.09,123.61,122.12,44371580.0
300.35,304.51,309.79,301.53,39732270.0,312.15,315.95,303.21,50155640.0,317.83,319.69,310.91,40575260.0
135.1,135.67,135.9,134.84,22539860.0,135.52,136.27,134.62,35578640.0,133.47,135.09,133.25,33054500.0
154.83,159.1,163.88,156.0,72215320.0,166.0,166.8,160.1,85957050.0,167.17,168.62,166.76,44453230.0
136.43,136.23,136.75,135.98,24487200.0,135.1,135.83,135.1,22163280.0,135.67,135.9,134.84,22539860.0
113.0,111.64,113.39,111.55,29800240.0,114.42,114.79,111.55,52411070.0,114.35,114.94,114.0,31048170.0
226.23,228.99,229.67,225.1,33290830.0,228.41,229.18,226.63,27363960.0,226.51,228.87,226.0,43177540.0
142.94,143.6,143.88,142.9,18904680.0,143.73,144.18,143.27,16658660.0,144.29,144.52,143.45,21131040.0
266.94,262.71,266.44,262.52,21029520.0,262.59,263.18,260.84,16331260.0,263.69,264.01,261.18,30348780.0
156.75,160.42,160.71,159.6,16252850.0,159.78,160.87,159.23,18969700.0,157.9,160.0,157.65,24093300.0
360.7,365.0,368.79,358.52,48155850.0,364.0,372.38,362.27,53038870.0,351.34,359.46,351.15,33861320.0
258.3,258.69,260.44,256.85,17520500.0,258.74,260.35,258.11,23735080.0,256.77,257.49,255.37,18966120.0
108.77,109.23,109.6,109.02,21918340.0,109.1,109.37,108.34,25328680.0,109.63,110.23,109.21,33754680.0
321.47,323.6,323.9,318.71,23580780.0,314.18,321.55,313.85,27337220.0,322.37,323.4,318.0,29421010.0
196.42,196.45,197.1,195.93,18473070.0,194.79,196.37,193.14,19090050.0,193.25,196.5,193.15,23243160.0
218.93,221.16,221.83,217.27,30280450.0,220.42,222.88,216.84,39494770.0,214.52,219.5,212.32,52902320.0
228.99,228.41,229.18,226.63,27363960.0,226.51,228.87,226.0,43177540.0,223.25,228.26,222.4,48696960.0
222.6,215.83,223.25,214.7,38681170.0,219.79,223.36,218.94,28751540.0,218.06,221.26,217.43,32874330.0
144.73,144.11,145.95,143.37,21080580.0,142.9,144.75,142.9,18527000.0,143.02,143.5,142.41,24110330.0
188.95,188.75,189.76,186.55,29771210.0,191.66,192.88,184.58,49696100.0,191.51,191.98,186.6,43751810.0
182.25,180.0,182.67,179.37,32416800.0,175.49,179.12,175.35,31123000.0,170.32,173.07,169.5,23985960.0
172.63,174.3,174.87,171.86,26387240.0,175.05,175.08,173.34,20591090.0,175.1,175.5,174.65,14026670.0
156.86,160.4,162.11,155.3,64398230.0,166.0,167.45,159.09,47597670.0,165.38,167.53,164.39,33753490.0
105.52,104.61,106.31,104.59,38236730.0,103.96,105.18,103.85,40026250.0,101.91,102.91,101.78,25058280.0
266.6,265.58,267.98,265.31,16386120.0,266.94,267.16,262.5,26334880.0,262.71,266.44,262.52,21029520.0
200.29,197.77,200.99,197.35,26067510.0,198.43,199.26,195.29,21070330.0,198.54,200.16,198.17,18220420.0
152.02,155.8,155.8,152.75,37350060.0,157.9,158.26,153.83,52126240.0,159.51,159.77,158.44,20565620.0
175.48,174.94,175.85,174.27,31686450.0,177.91,178.25,176.13,23273160.0,175.21,177.74,174.52,27825140.0
